cf_problem_rating,cf_context_band,codechef_equiv_mid,codechef_equiv_low,codechef_equiv_high,leetcode_zerotrac_equiv_mid,leetcode_zerotrac_equiv_low,leetcode_zerotrac_equiv_high,leetcode_official_label_likely,confidence,recommended_training_weight,mapping_type,notes
1400,CF specialist entry / Div3 C-D / Div2 B-C-ish,1700,1550,1850,1850,1670,2030,upper Medium / easier Hard,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1500,CF specialist entry / Div3 C-D / Div2 B-C-ish,1800,1650,1950,2000,1820,2180,upper Medium / easier Hard,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1600,CF specialist- expert / Div2 C-D-ish,1950,1800,2100,2100,1920,2280,upper Medium / easier Hard,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1700,CF specialist- expert / Div2 C-D-ish,2100,1950,2250,2200,2020,2380,Hard,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1800,CF specialist- expert / Div2 C-D-ish,2250,2100,2400,2350,2170,2530,Hard,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1900,CF expert-CM / Div2 D-E / Div1 A-ish,2350,2130,2570,2500,2320,2680,Hard,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2000,CF expert-CM / Div2 D-E / Div1 A-ish,2500,2280,2720,2600,2420,2780,Hard+ contest Q4,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2100,CF expert-CM / Div2 D-E / Div1 A-ish,2650,2430,2870,2700,2420,2980,Hard+ contest Q4,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2200,CF master-level / Div1 A-B-ish,2750,2530,2970,2850,2570,3130,Hard+ contest Q4,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2300,CF master-level / Div1 A-B-ish,2900,2680,3120,3000,2720,3280,Hard+ contest Q4,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2400,CF master-level / Div1 A-B-ish,3050,2830,3270,3100,2820,3380,Hard+ contest Q4,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2500,CF IM-GM-level / Div1 B-C-ish,3200,2850,3550,3200,2920,3480,Hard+ contest Q4,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2600,CF IM-GM-level / Div1 B-C-ish,3300,2950,3650,3350,3070,3630,Hard+ contest Q4,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2700,CF IM-GM-level / Div1 B-C-ish,3450,3100,3800,3500,3050,3950,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2800,CF IM-GM-level / Div1 B-C-ish,3600,3250,3950,3600,3150,4000,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
2900,CF IM-GM-level / Div1 B-C-ish,3700,3350,4050,3700,3250,4000,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
3000,CF extreme archive; sparse/noisy,3850,3500,4200,3850,3400,4000,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
3100,CF extreme archive; sparse/noisy,4000,3650,4350,3950,3500,4000,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
3200,CF extreme archive; sparse/noisy,4100,3750,4450,3950,3500,4000,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
3300,CF extreme archive; sparse/noisy,4250,3900,4600,3950,3500,4000,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
3400,CF extreme archive; sparse/noisy,4400,4050,4750,3950,3500,4000,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
3500,CF extreme archive; sparse/noisy,4500,4150,4850,3950,3500,4000,Hard+ contest Q4,low,0.3,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
